"episode","env.name: fourrooms - _step","env.name: fourrooms - _step__MIN","env.name: fourrooms - _step__MAX","env.name: fourrooms - steps","env.name: fourrooms - steps__MIN","env.name: fourrooms - steps__MAX"
"160","71402.60784313726","48199","119407","55.333333333333336","17","195"
"161","71549.76470588235","48518","119546","61.411764705882355","12","376"
"162","71823.19607843137","48628","119650","117.49019607843137","16","795"
"163","71983.80392156863","48860","119787","67.41176470588235","16","424"
"164","72185.5294117647","48959","119893","85.66666666666667","17","534"
"165","72398.90196078431","49128","120068","90.84313725490196","17","872"
"166","72580.45098039215","49283","120181","76.66666666666667","17","916"
"167","72733.88235294117","49346","120356","64.15686274509804","18","356"
"168","72939","49492","120442","87.2156862745098","15","1243"
"169","73133.39215686274","49654","120541","82.3529411764706","19","751"
"170","73254.35294117648","49724","120709","49.78431372549019","14","129"
"171","73368.33333333333","49807","120757","46.64705882352941","14","216"
"172","73609.45098039215","49873","120876","103.17647058823529","19","994"
"173","73730.64705882352","50048","121155","49.84313725490196","13","120"
"174","73890.25490196078","50167","121281","66.96078431372548","15","468"
"175","74043.92156862745","50221","121396","64.29411764705883","16","509"
"176","74217.4705882353","50323","121537","73.17647058823529","13","527"
"177","74377.98039215687","50363","121672","67.33333333333333","13","432"
"178","74505.49019607843","50437","121825","52.627450980392155","12","135"
"179","74648.88235294117","50527","121967","59.745098039215684","13","133"
"180","74814.19607843137","50624","122129","69.47058823529412","18","495"
"181","74937.13725490196","50739","122230","50.6078431372549","13","123"
"182","75099.64705882352","50827","122302","68.25490196078431","14","447"
"183","75256.7843137255","50946","122379","65.80392156862744","17","407"
"184","75385.23529411765","51142","122487","53.09803921568628","20","163"
"185","75520.49019607843","51196","122608","56.15686274509804","12","195"
"186","75681.2156862745","51313","122761","67.43137254901961","14","435"
"187","75808.3137254902","51414","122818","52.411764705882355","12","353"
"188","75946.86274509804","51479","123040","57.627450980392155","18","264"
"189","76089.1568627451","51583","123130","59.254901960784316","17","432"
"190","76238.49019607843","51659","123245","62.35294117647059","16","440"
"191","76392","51709","123333","64.27450980392157","18","402"
