,reward_8,lengths_8,mean_lengths_8,reward_4,lengths_4,mean_lengths_4,reward_1,lengths_1,mean_lengths_1,smooth_1,smooth_4,smooth_8
157,1.0,26.0,86.96,1.0,33.0,64.05,1.0,26.0,44.04,171.56304899404662,880.6893133895591,218.10592565081785
158,1.0,49.0,83.38,1.0,34.0,62.95,1.0,28.0,44.0,170.12741850410615,872.2224202556635,216.41486639430968
159,1.0,35.0,80.81,1.0,46.0,61.79,1.0,39.0,44.03,168.81614431906507,863.9601960531069,214.60071773036657
160,1.0,25.0,76.8,1.0,43.0,58.87,1.0,18.0,43.96,167.30798287587442,855.7505940925757,212.7047105530629
161,1.0,75.0,76.77,1.0,24.0,57.99,1.0,32.0,43.88,165.95490304711566,847.4330881516499,211.32766344753227
162,1.0,82.0,70.57,1.0,61.0,56.49,1.0,39.0,43.44,164.68535401664448,839.5687572701335,210.03438681305695
163,1.0,35.0,70.97,1.0,36.0,55.95,1.0,29.0,43.52,163.32850047647804,831.5330696974321,208.28404294492637
164,1.0,25.0,64.04,1.0,23.0,55.45,1.0,49.0,43.38,162.18521547171326,823.4477390004578,206.4512025154771
165,1.0,43.0,62.46,1.0,67.0,55.12,1.0,40.0,42.74,160.96336331699612,815.8832616104531,204.81669049032232
166,1.0,36.0,61.96,1.0,24.0,55.19,1.0,46.0,42.52,159.81372968382618,807.9644289943486,203.12852358541912
167,1.0,17.0,60.85,1.0,25.0,54.78,1.0,26.0,42.77,158.4755923869879,800.1347847044051,201.2672383495649
168,1.0,56.0,59.77,1.0,56.0,54.79,1.0,41.0,42.84,157.300836463118,792.693436857361,199.81456596606927
169,1.0,60.0,59.4,1.0,25.0,54.47,1.0,31.0,42.76,156.0378280984868,785.0165024887874,198.41642030640855
170,1.0,48.0,59.51,1.0,56.0,53.93,1.0,21.0,42.89,154.68744981750194,777.7263374638994,196.91225610334445
171,1.0,17.0,59.2,1.0,44.0,54.19,1.0,21.0,42.88,153.35057531932694,770.3890740892605,195.11313354231098
172,1.0,36.0,57.55,1.0,29.0,53.78,1.0,96.0,42.55,152.77706956613366,762.9751833483679,193.5220022068879
173,1.0,15.0,56.74,1.0,29.0,53.58,1.0,29.0,42.94,151.53929887047232,755.6354315148841,191.73678218481902
174,1.0,29.0,56.38,1.0,51.0,53.23,1.0,44.0,42.98,150.4639058817676,748.5890771997352,190.10941436297082
175,1.0,34.0,56.08,1.0,32.0,53.08,1.0,61.0,43.19,149.56926682294994,741.423186427738,188.54832021934112
176,1.0,49.0,55.63,1.0,21.0,52.99,1.0,42.0,43.02,148.49357415472042,734.2189545634606,187.15283701714773
177,1.0,27.0,55.93,1.0,32.0,52.82,1.0,28.0,39.83,147.2886384131732,727.196765017826,185.55130864697625
178,1.0,41.0,55.88,1.0,28.0,52.78,1.0,55.0,37.43,146.3657520290415,720.2047973676478,184.1057955605065
179,1.0,44.0,55.11,1.0,35.0,52.9,1.0,43.0,37.8,145.33209450875108,713.3527493939713,182.70473760490142
180,1.0,27.0,54.94,1.0,35.0,52.1,1.0,38.0,37.7,144.25877356366357,706.5692219000316,181.1476902288524
181,1.0,57.0,54.4,1.0,30.0,51.44,1.0,30.0,37.76,143.11618582802694,699.8035296810313,179.9062133265639
182,1.0,42.0,53.92,1.0,34.0,51.39,1.0,26.0,37.77,141.94502396974667,693.1454943842209,178.52715119329824
183,1.0,34.0,53.38,1.0,50.0,50.92,1.0,30.0,37.76,140.82557373004923,686.7140394403787,177.08187968136525
184,1.0,67.0,53.05,1.0,28.0,51.0,1.0,21.0,37.68,139.62731799274874,680.1268990459748,175.9810608845516
185,1.0,38.0,53.22,1.0,53.0,50.73,1.0,17.0,37.17,138.40104481282125,673.855630055515,174.60125027570606
186,1.0,18.0,52.64,1.0,32.0,50.98,1.0,25.0,37.1,137.26703436469305,667.4370737549599,173.03523777294902
187,1.0,21.0,52.3,1.0,22.0,50.48,1.0,31.0,37.05,136.2043640210461,660.9827030174104,171.51488539521952
188,1.0,35.0,51.42,1.0,22.0,50.03,1.0,20.0,37.12,135.04232038083563,654.5928759872363,170.14973654126732
189,1.0,21.0,51.3,1.0,51.0,49.98,1.0,49.0,37.09,134.18189717702728,648.5569472273639,168.65823917585465
190,1.0,43.0,50.53,1.0,16.0,49.78,1.0,43.0,37.05,133.27007820525702,642.2313777550903,167.4016567840961
191,1.0,33.0,50.35,1.0,35.0,49.49,1.0,38.0,37.28,132.31737742320445,636.1590639775394,166.05764021625515
192,1.0,41.0,50.18,1.0,35.0,49.08,1.0,55.0,37.44,131.54420364897243,630.147473337764,164.8070638140926
193,1.0,47.0,49.96,1.0,27.0,48.76,1.0,20.0,37.81,130.4287616124827,624.1159986043864,163.62899317595168
194,1.0,39.0,49.88,1.0,32.0,48.22,1.0,16.0,37.84,129.28447399635786,618.1948386183426,162.38270324419216
195,1.0,38.0,49.69,1.0,16.0,48.16,1.0,26.0,37.32,128.25162925639427,612.1728902321591,161.13887621175024
196,1.0,45.0,49.19,1.0,42.0,47.73,1.0,25.0,36.92,127.21911296383033,606.4711613298375,159.97748744963272
197,1.0,36.0,48.72,1.0,28.0,47.32,1.0,14.0,36.94,126.08692183419203,600.6864497165391,158.7377125751364
198,1.0,25.0,48.88,1.0,56.0,47.2,1.0,21.0,36.52,125.0360526158501,595.2395852193736,157.40033544938504
199,1.0,34.0,48.74,1.0,17.0,47.51,1.0,64.0,36.47,124.4256920896916,589.4571893671798,156.1663320948912
200,1.0,23.0,48.17,1.0,80.0,47.38,1.0,45.0,36.54,123.63143516879468,584.362617473508,154.83466877394227
201,1.0,42.0,47.9,1.0,25.0,47.9,1.0,61.0,36.07,123.00512081710673,578.7689912987729,153.70632208620285
202,1.0,15.0,46.77,1.0,69.0,47.76,1.0,17.0,36.38,121.94506960893567,573.6713013857852,152.31925886534083
